EMPOWER VOCABULARY TRAINER - CONTENT ISSUE TRACKER,,,,,,,,,,,,,
Log every content issue you find. One row per issue. Be specific.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Reviewer Name,Date,Level,Unit,Word / Phrase,Issue Type,Game Affected,Current Content,Issue Description,,Suggested Fix,Priority,Status,
Derya,2026-02-15,A2,3,upset,DEF,Multiple Choice,to make something fall over,Definition describes 'overturn' not the emotional meaning of upset,,"feeling unhappy, worried, or angry about something",High,Fixed,
Shahin,2026-02-15,B1,5,advice,EX,Fill in Blank,He adviced me to study harder.,"'adviced' is not valid - 'advice' is a noun, cannot be used as verb",,She gave me some good advice about her career.,High,Fixed,
Parisa,2026-02-16,A2,1,look after,PHV,Spelling,to search for something,Definition is for 'look for' not 'look after',,to take care of someone or something,High,Fixed,
Bihter,2026-02-16,B1,1,horrible,EX,Multiple Choice,The food tasted horrible.,The sentence does not help enough to grasp the meaning.,,"We watched a horrible movie, and I couldn’t sleep at night.",Medium,Fixed,
Bihter,2026-02-16,B1,1,nervous,DEF,Multiple Choice,"very small
feeling a little afraid or worried
able to be trusted to do things well and on time
a little stupid or not serious",The options are not challenging enough.,,"a) feeling worried or slightly afraid about something
b) feeling very relaxed and calm
c) feeling extremely happy and excited
d) feeling bored and not interested",Medium,Fixed,
Bihter,2026-02-16,B1,1,useless,DEF,Multiple Choice,helpful and good to use / not helpful and not good to use,The correct option is misleading.,,not helpful not good to use,High,Fixed,"the same problem in match words with definitions part,too."
Bihter,2026-02-16,B1,1,instead,DEF,Multiple Choice,"in place of something else; as another choice
in a way that surprises you
by walking, not by car, bus, or train
luckily; in a good way",The options are not challenging enough.,,"a) in place of something else; as an alternative
b) because of something; as a result
c) in addition to something; also
d) at the same time as something else",Medium,Fixed,
Bihter,2026-02-16,,,awful,EX,Multiple Choice,,The definition is not clear enough to grasp the meaning.,,"The weather was awful yesterday, with heavy rain, thunder, and dark clouds all afternoon.",Medium,Fixed,
Bihter,2026-02-16,B1,1,awful ,DEF,Multiple Choice,"not careful, often causing mistakes or accidents1
very bad and unpleasant2
successful or working in the way you want3
making you feel shy or ashamed",The options are not challenging enough.,,"a) very bad and unpleasant
b) slightly cool and fresh
c) calm and peaceful
d) warm and comfortable",Medium,Fixed,
Bihter,2026-02-16,,,relationship,DEF,Multiple Choice,They have a good relationship.,The definition is not clear enough to grasp the meaning.,,They have a good relationship; they always support each other and solve their problems by talking calmly.,Medium,Fixed,
Bihter,2026-02-16,B1,1,permanent,DEF,Multiple Choice,He has a permanent job at the bank.,The definition is not clear enough to grasp the meaning.,,"He has a permanent job at the bank, so he doesn’t worry about losing his position after a few months.",Medium,Fixed,
Bihter,2026-02-16,B1,1,permanent,EX,Multiple Choice,"expecting good things to happen or feeling hopeful
unable to stop doing or using something
staying the same for a long time; not changing
a little stupid or not serious",The options are not challenging enough.,,"a) temporary and short-term
b) lasting for a long time
c) part-time and flexible
d) stressful and demanding",Medium,Fixed,
Bihter,2026-02-16,B1,1,hardly ever,DEF,Multiple Choice,I hardly ever watch TV.,The definition is not clear enough to grasp the meaning.,,I hardly ever watch TV; maybe once or twice a year when there is something really special.,Medium,Fixed,
Bihter,2026-02-16,B1,1,usually ,EX,Multiple Choice,"in a very surprising or impressive way1
on most days or in most situations2
by walking, not by car, bus, or train3
in a way that surprises you4
",The options are not challenging enough.,,"a) most of the time; in most situations
b) almost never
c) only once a year
d) very suddenly and unexpectedly",Medium,Fixed,
Yeşim,2026-02-19,A2,1,say goodbye,DEF,Match,say goodbye,Definition gives the answer.,,To tell someone you are leaving.,Medium,Fixed,
Yeşim,2026-02-19,A2,1,say hello,DEF,Match,say hello,Definition gives the answer.,,to greet someone,Medium,Fixed,
Yeşim,2026-02-19,A2,1,an egg,DEF,Fill in Blank,I had an_________ for breakfast,"all other options start with a consonant, but the only correct (egg) starts with a vowel, so th answer is clear.",,a/an can be written to prevent that.,Low,Fixed,
Yeşim,2026-02-19,A2,1,advantage,DEF,Multiple Choice,One advantage of my job is the salary. The answer is : advantage=good thing..,the option gives the answer.,,"instead of that option, a good thing or benefit can be written",Medium,Fixed,
Yeşim,2026-02-19,A2,1,bought,DEF,Multiple Choice,I bought a new phone yesterday. the answer is : bought sth by paying money,the option gives the answer.,,to get something by paying money,Medium,Fixed,
Yeşim,2026-02-19,A2,1,grew up,DEF,Multiple Choice,past form of grow up,"Two options have the past forms of verbs, and the others are definitions",,"either give only defnitions, or past form of two more verbs in the options.",Medium,Fixed,
Yeşim,2026-02-19,A2,1,I'll call you back after lunch.,PHV,Multiple Choice,I'll call you back after lunch.,target word is not highlighted so it cannot be solved.,,highlight the target word,High,Fixed,
Yeşim,2026-02-19,A2,1,“Teacher” and “book” are nouns.,DEF,Multiple Choice,"words for people, places, or things",there are two close options,,"one option must be changed to adjectives for people, places, or things",Medium,Open,checked
Yeşim,2026-02-19,A2,1,dance for 24 hours,DEF,Multiple Choice,They tried to dance for 24 hours for charity.,the answer is: to dance without stopping for 24 hours. the answer is given in the option,,to dance without stopping all day,Medium,Fixed,
Yeşim,2026-02-19,A2,1,I need to post this letter today.,DEF,Multiple Choice,looking for or trying to see sth,"all three options start with ""to"" except this one",,to look for or try to see sth,Medium,Fixed,
Yeşim,2026-02-19,A2,1, fallen off ,PHV,Multiple Choice,He has fallen off his bike twice.,only fallen is underlined but it is actually a phrasal verb and the questions is finding the meaning of the verb but the options are past participle of the verbs,,fallen off should be underlined and definitions of the verbs should be given in the options,Medium,Fixed,
Yeşim,2026-02-19,A2,1,caught,COL,Multiple Choice,He has caught a cold.,only caught is underlined but it is actually a collocation and the questions is finding the meaning of the verb but the options are past participle of the verbs,,caught a cold should be underlined and definitions of the verbs should be given not the past forms.,Medium,Fixed,
Abdulrauf,2026-02-20,B1,7,suffer from,PHV,Match,,"Definition does not match meaning (describes worry, not illness/problem)",,“to have an illness or problem” / “to experience something bad or unpleasant”,Medium,Fixed,
